from,to,line,7_in,7_out,8_in,8_out
망포,매탄권선,분당선,20755,4485,21613,11306
매탄권선,수원시청,분당선,26872,15814,27780,46089
수원시청,매교,분당선,8290,5903,9976,11870
매교,수원,분당선,118414,77148,130899,123045
수원,고색,분당선,,,,
고색,오목천,분당선,,,,
오목천,어천,분당선,,,,
어천,야목,분당선,,,,
야목,사리,분당선,,,,
사리,한대앞,분당선,33051,8668,29359,22369
한대앞,중앙,분당선,56098,17915,48466,40038
중앙,고잔,분당선,32989,12956,25120,29469
고잔,초지,분당선,18918,10461,15980,15824
초지,안산,분당선,29012,44046,30924,38250
안산,신길온천,분당선,8426,4034,7508,2719
신길온천,정왕,분당선,19801,25807,18107,34580
정왕,오이도,분당선,45015,16039,39085,19135
오이도,달월,수인선,102,155,83,401
달월,월곶,수인선,10187,2754,10126,2919
월곶,소래포구,수인선,17341,4063,14160,7997
소래포구,인천논현,수인선,18049,8828,17398,17182
인천논현,호구포,수인선,8017,18304,10053,19191
호구포,남동인더스파크,수인선,1172,17226,2135,21353
남동인더스파크,원인재,수인선,16096,5160,18602,8206
원인재,연수,수인선,16722,5627,16846,13865
연수,송도,수인선,11354,2494,12536,4289
송도,인하대,수인선,22959,5134,21030,18670
인하대,숭의,수인선,13114,9268,12705,13741
숭의,신포,수인선,3200,4439,3205,10902
신포,인천,수인선,8869,10302,8825,16564
강남,양재(서초구청),신분당선,39809,111081,54968,275328
양재(서초구청),양재시민의숲,신분당선,,,,
양재시민의숲,청계산입구,신분당선,,,,
청계산입구,판교,신분당선,5873,11865,4843,27824
판교,정자,신분당선,32981,24986,41783,69600
정자,미금,신분당선,30911,20988,41176,52604
미금,동천,신분당선,,,,
동천,수지구청,신분당선,,,,
수지구청,성복,신분당선,,,,
성복,상현,신분당선,,,,
상현,광교중앙,신분당선,,,,
광교중앙,광교,신분당선,,,,
계양,귤현,인천1,,,,
귤현,박촌,인천1,,,,
박촌,임학,인천1,,,,
임학,계산,인천1,,,,
계산,경인교대입구,인천1,,,,
경인교대입구,작전,인천1,,,,
작전,갈산,인천1,,,,
갈산,부평구청,인천1,72582,12423,59369,14166
부평구청,부평시장,인천1,,,,
부평시장,부평,인천1,107031,25123,103536,39974
부평,동수,인천1,,,,
동수,부평삼거리,인천1,,,,
부평삼거리,간석오거리,인천1,,,,
간석오거리,인천시청,인천1,,,,
인천시청,예술회관,인천1,,,,
예술회관,인천터미널,인천1,,,,
인천터미널,문학경기장,인천1,,,,
문학경기장,선학,인천1,,,,
선학,신연수,인천1,,,,
신연수,원인재,인천1,16096,5160,18602,8206
원인재,동춘,인천1,,,,
동춘,동막,인천1,,,,
동막,캠퍼스타운,인천1,,,,
캠퍼스타운,테크노파크,인천1,,,,
테크노파크,지식정보단지,인천1,,,,
지식정보단지,인천대입구,인천1,,,,
인천대입구,센트럴파크,인천1,,,,
센트럴파크,국제업무지구,인천1,,,,
국제업무지구,송도달빛축제공원,인천1,,,,
검단오류,왕길,인천2,,,,
왕길,검단사거리,인천2,,,,
검단사거리,마전,인천2,,,,
마전,완정,인천2,,,,
완정,독정,인천2,,,,
독정,검암,인천2,46253,8851,33479,16804
검암,검바위,인천2,,,,
검바위,아시아드경기장,인천2,,,,
아시아드경기장,서구청,인천2,,,,
서구청,가정,인천2,,,,
가정,가정중앙시장,인천2,,,,
가정중앙시장,석남,인천2,,,,
석남,서부여성회관,인천2,,,,
서부여성회관,인천가좌,인천2,,,,
인천가좌,가재울,인천2,,,,
가재울,주안국가산단,인천2,,,,
주안국가산단,주안,인천2,77500,25083,71931,43691
주안,시민공원,인천2,,,,
시민공원,석바위시장,인천2,,,,
석바위시장,인천시청,인천2,,,,
인천시청,석천사거리,인천2,,,,
석천사거리,모래내시장,인천2,,,,
모래내시장,만수,인천2,,,,
만수,남동구청,인천2,,,,
남동구청,인천대공원,인천2,,,,
인천대공원,운연,인천2,,,,
발곡,회룡,의정부경전철,66617,9093,56965,13966
회룡,범골,의정부경전철,,,,
범골,경전철의정부,의정부경전철,,,,
경전철의정부,의정부시청,의정부경전철,,,,
의정부시청,흥선,의정부경전철,,,,
흥선,의정부중앙,의정부경전철,,,,
의정부중앙,동오,의정부경전철,,,,
동오,새말,의정부경전철,,,,
새말,경기도청북부청사,의정부경전철,,,,
경기도청북부청사,효자,의정부경전철,,,,
효자,곤제,의정부경전철,,,,
곤제,어룡,의정부경전철,,,,
어룡,송산,의정부경전철,,,,
송산,탑석,의정부경전철,,,,
기흥,강남대,에버라인,,,,
강남대,지석,에버라인,,,,
지석,어정,에버라인,,,,
어정,동백,에버라인,,,,
동백,초당,에버라인,,,,
초당,삼가,에버라인,,,,
삼가,시청·용인대,에버라인,,,,
시청·용인대,명지대,에버라인,,,,
명지대,김량장,에버라인,,,,
김량장,운동장·송담대,에버라인,,,,
운동장·송담대,고진,에버라인,,,,
고진,보평,에버라인,,,,
보평,둔전,에버라인,,,,
둔전,전대·에버랜드,에버라인,,,,
북한산우이,솔밭공원,우이신설,10787,1588,10520,3540
솔밭공원,4·19민주묘지,우이신설,,,,
4·19민주묘지,가오리,우이신설,18418,2738,20429,5415
가오리,화계,우이신설,13313,2441,15278,5179
화계,삼양,우이신설,7110,1432,8690,3799
삼양,삼양사거리,우이신설,7391,2096,9849,4880
삼양사거리,솔샘,우이신설,31700,2783,31623,4610
솔샘,북한산보국문,우이신설,22438,7076,26404,10435
북한산보국문,정릉,우이신설,15014,3586,16775,7119
정릉,성신여대입구(돈암),우이신설,60612,25353,77228,61793
성신여대입구(돈암),보문,우이신설,24705,12400,40553,27137
보문,신설동,우이신설,27544,40572,41819,110705
소사,소새울,서해선,,,,
소새울,시흥대야,서해선,,,,
시흥대야,신천,서해선,,,,
신천,신현,서해선,,,,
신현,시흥시청,서해선,,,,
시흥시청,시흥능곡,서해선,,,,
시흥능곡,달미,서해선,,,,
달미,선부,서해선,,,,
선부,초지,서해선,18918,10461,15980,15824
초지,원곡,서해선,,,,
원곡,원시,서해선,,,,
